DeckType	Front	Back	Infinitief	Imperfectum	Perfectum	English
irregular-verbs	bakken	Imperfectum: bakte, bakten | Perfectum: gebakken | English: to bake, to fry	bakken	bakte, bakten	gebakken	to bake, to fry
irregular-verbs	bedenken	Imperfectum: bedacht, bedachten | Perfectum: bedacht | English: to think of	bedenken	bedacht, bedachten	bedacht	to think of
irregular-verbs	bederven	Imperfectum: bedierf, bedierven | Perfectum: bedorven | English: to spoil	bederven	bedierf, bedierven	bedorven	to spoil
irregular-verbs	bedriegen	Imperfectum: bedroog, bedrogen | Perfectum: bedrogen | English: to deceive	bedriegen	bedroog, bedrogen	bedrogen	to deceive
irregular-verbs	beginnen	Imperfectum: begon, begonnen | Perfectum: is begonnen | English: to begin, to start	beginnen	begon, begonnen	is begonnen	to begin, to start
irregular-verbs	begrijpen	Imperfectum: begreep, begrepen | Perfectum: begrepen | English: to understand	begrijpen	begreep, begrepen	begrepen	to understand
irregular-verbs	besluiten	Imperfectum: besloot, besloten | Perfectum: besloten | English: to decide	besluiten	besloot, besloten	besloten	to decide
irregular-verbs	bestrijden	Imperfectum: bestreed, bestreden | Perfectum: bestreden | English: to combat	bestrijden	bestreed, bestreden	bestreden	to combat
irregular-verbs	betreffen	Imperfectum: betrof, betroffen | Perfectum: betroffen | English: to concern	betreffen	betrof, betroffen	betroffen	to concern
irregular-verbs	bevelen	Imperfectum: beval, bevalen | Perfectum: bevolen | English: to order	bevelen	beval, bevalen	bevolen	to order
irregular-verbs	bewegen	Imperfectum: bewoog, bewogen | Perfectum: bewogen | English: to move	bewegen	bewoog, bewogen	bewogen	to move
irregular-verbs	bewijzen	Imperfectum: bewees, bewezen | Perfectum: bewezen | English: to prove	bewijzen	bewees, bewezen	bewezen	to prove
irregular-verbs	bidden	Imperfectum: bad, baden | Perfectum: gebeden | English: to pray	bidden	bad, baden	gebeden	to pray
irregular-verbs	bieden	Imperfectum: bood, boden | Perfectum: geboden | English: to offer	bieden	bood, boden	geboden	to offer
irregular-verbs	bijten	Imperfectum: beet, beten | Perfectum: gebeten | English: to bite	bijten	beet, beten	gebeten	to bite
